Français;Kabyle;Fréquence_Pourcentage;Niveau
être;blɣ / g / ili / tilit / tuɣa;15.0;1
Venir;ddu (-d) / as;5.0;1
dire;ini / nẓṛ;4.5;1
voir;annay / xzr / isidd / iẓiṛ / llm / matr / ṛaɛa / sksiw / sksu / suqql / ṣwḍ / wala / ẓṛ;4.0;1
homme;argaz / bnadm / uggid;0.7;1
jour;ass;0.7;1
vie;buḥbl / tudrt;0.6;1
eau;aman;0.5;1
monde;amaḍal;0.5;1
pays;tamurt;0.5;1
main;afus;0.4;1
pain;aɣrum;0.4;1
tête;agayyu / axsas / axcac / aqllal / aqrru / aqcac / aqyyuɛ / azllif / ixf / tacakka;0.4;1
bois;akccuḍ / asɣar / iflu;0.3;1
chat;amaccu / amucc / amcic;0.3;1
ciel;agnna / ajnna / ignna;0.3;1
cuir;ilm / tisrki;0.3;1
herbe;tuga;0.3;1
laine;taḍuft / taḍut;0.3;1
lune;ayyur / tiziri;0.3;1
mer;ill;0.3;1
pont;amzzgr / tilggʷit;0.3;1
route;abrid  / aɣaras;0.3;1
soie;amṭṭalfu / tawsayt;0.3;1
table;tadabut / taṭṭblat;0.3;1
usine;asakʷn;0.3;1
voie;asaka / taɣarast;0.3;1
anus;afli / asuḍ / aṣṛmum / azbbur / imi n uxna / tamunni / tiṭṭ n uxna;0.08;1
cou;ajṛniḍ / amggṛḍ / iri / mnjy / tamggṛḍt;0.08;1
dent;axs / tiɣmst / tuɣmst;0.08;1
doigt;aḍaḍ;0.08;1
dos;akrum / aɛrur / tadawt / taɛrurt / tiwa;0.08;1
foie;asagl / tasa / tacwit;0.08;1
genou;afud;0.08;1
jambe;aḍaṛ / amzzill / aẓumẓ;0.08;1
nerf;azllum / usur / taɣuṣmt;0.08;1
nez;axmmuy / anzarn / inxar / tinzar;0.08;1
os;aqrbabbu / iɣss;0.08;1
ovule;taglayuct / tamllaluct;0.08;1
peau;abṭṭan / aɣrus / aslix / acbab / ilm / tamlixt;0.08;1
rate;inṛfḍ / anguf;0.08;1
rein;tigẓẓlt;0.08;1
sang;idammn;0.08;1
sein;abbic / iff / tabbuct / tabzzult / tasumumt / tibbit;0.08;1
utérus;arɣn / asirw;0.08;1
vagin;abccun / adhkan / aḥtcun / bcci;0.08;1
voix;agṛḍ / aḥrsi / inẓi / taqqayt / tamijja;0.08;1
bol;agra / tagra / tazlaft / taẓḍuḍa / taẓwayt / timkilt;0.005;1
bras;arbi / iɣil;0.005;1
facteur;bu tbratin;0.005;1
foin;axcliɛ;0.005;1
fond;abuḍ / abraw / allaɣ / izdar;0.005;1
hyène;aridal / ifis / mccɣyul / tazuri / tuɛra / tursla;0.005;1
hôtel;asnsu;0.005;1
jeune;aḥudri / amẓẓyan / imẓiy / aẓummi / uẓum;0.005;1
jurer;ggall;0.005;1
lait;akʷfay / aɣɣu;0.005;1
mai;mayyu;0.005;1
melon;abttix / lmnun;0.005;1
nuque;aqlqul / ḥngi / tagrninna / taḥdjamt / taqnctlla / tiwa;0.005;1
rue;tasukt;0.005;1
tige;taṣṭṭa;0.005;1
tisser;gr aẓṭṭa / drrz / ẓḍ;0.005;1
unité;afrdis / tagzzumt;0.005;1
veuf;adgal;0.005;1
Abattoirs communaux;isɣras imgrutn;0.001;1
Adapter;ksi (- sg);0.001;1
Bassin d'audience;;0.001;1
Bien que cette décision ne m'arrange pas, je n'y peux rien;;0.001;1
Bilitère;bu sin iskkiln;0.001;1
Biodiversité;amyanaw n imaddarn;0.001;1
Bloc;bluk;0.001;1
Boîte à idées;tafniqt n tsumar;0.001;1
Bâtonnier;amzwar n imstann / amɣar n imstann;0.001;1
Campus universitaire;;0.001;1
Casier judicaire;alug azrfan;0.001;1
Centre de prévision météorologique;ammas n usnimal n unzwi;0.001;1
Dieu;akuc / bab n ignwan / bu itran / ṛbbi;0.001;1
Douze;sin d mraw;0.001;1
Décentralisé;ur innummsn;0.001;1
Délégation provinciale;tamurayt tasgawant / tasmirit tasgawant;0.001;1
Délégation régionale;tamurayt tanmnaḍt / tasmirit tanmnaḍt;0.001;1
Dépôt communal;tisgit tamgrut;0.001;1
Dériver (tr.);ssufɣ (-sg);0.001;1
Edition (informations);inɣmisn;0.001;1
Electroencéphalogramme;unuɣ uẓṛiṛ n wanlli;0.001;1
En détail (vente), En détail;s tgzamt;0.001;1
Energie renouvelable;taẓḍaṛt ittusmaynun;0.001;1
Fais ce que veut ton père;skr ɣiklli ira babak;0.001;1
Fait;imggi / imjṛi;0.001;1
Flash d'information;;0.001;1
Groupe de recherche;tarabbut n urzzu;0.001;1
Habous;lḥubus;0.001;1
Heure;asrag / tassaɛt;0.001;1
Homme d'affaire;;0.001;1
Idéalisé;s tfilawt;0.001;1
Il a mangé plusieurs oranges;icca mnct talitcinin;0.001;1
Il a neigé;iwta udfl;0.001;1
Il fait chaud;iḥma lḥal / irɣa lḥal;0.001;1
Il fait frais;izuzwa lḥal;0.001;1
Il fait jour;ifaw lḥal / iffu lḥal;0.001;1
Il fait lourd;ibdd lḥal / iqqn lḥal / iɣuf lḥal;0.001;1
Il fait nuit;ḍṛnt tillas;0.001;1
Il n'est même pas allé voir sa mère;;0.001;1
Il pleut des cordes;usin waman aman;0.001;1
Il sortira demain;ad iffɣ tiwcca;0.001;1
"Il vente ; le vent souffle";ar ittṣuḍ waḍu;0.001;1
Il y a une embellie;iffɣ d lḥal;0.001;1
Ils sont entrés en une seule fois;kcmn d g yat tmnida;0.001;1
Image poétique, Figure de style;tawlaft timzlit;0.001;1
Islam;lislam;0.001;1
Kimono;akimunu;0.001;1
L'avalanche s'est déclenchée.;;0.001;1
L'obscurité règne;;0.001;1
La foudre a éclaté;tṭṭiqs tgnut;0.001;1
La foudre a éclaté.;iṭṭuqqẓ waggag;0.001;1
La lune s'est levée.;;0.001;1
La pleine lune est apparue.;tssigg d tziri;0.001;1
La période chaude a commencé.;kcmnt ṣṣmaym / udfnt ṣṣmaym;0.001;1
La période chaude est terminée.;ffɣnt ṣṣmaym;0.001;1
La période froide de l'année est terminée.;;0.001;1
Langue maternelle;tutlayt taymmat;0.001;1
Le froid s'est installé;;0.001;1
Le soleil donne dans …;tgr tafukt g ...;0.001;1
Le soleil s'est couché.;;0.001;1
Le tonnerre gronde;la tsawal tgnut;0.001;1
"Le tonnerre gronde ; il tonne.";inhm waggag;0.001;1
Marché de gros;agadaz s tugt;0.001;1
Maroquinerie;iyafutn n yilm;0.001;1
Marque collective;tamatart tamgrawt;0.001;1
Médiathèque;tasdlist tasliẓiṛt;0.001;1
Nations Unies;timtta imunn;0.001;1
Noix;taddujt / dduj / taɣyayt;0.001;1
Non commercial;war awttas asɣnzi;0.001;1
Oasis;taɣla / taẓnigt;0.001;1
Ordonnancement;;0.001;1
Ordre judiciaire;anaḍ azrfan;0.001;1
Organisation Mondiale de la Santé (OMS);tamaddast tamaḍlant n tdusi;0.001;1
Organisation Non Gouvernementale (ONG);tamaddast ur iḍfaṛn tanbaḍt;0.001;1
Orphelinat;taddart n igujiln / tasgujilt;0.001;1
Pan système;;0.001;1
Parties du discours;ifrdas n wawal;0.001;1
Quadrilitère;bu kkuẓ iskkiln;0.001;1
Quarante;sin wagnarn;0.001;1
Rif;rrif;0.001;1
Réaliser;ssufɣ (-d) / ssḍṛu;0.001;1
Régie de recettes;tasḥḍawt n tnudaf;0.001;1
Réingénierie;allas n utwal;0.001;1
Réintegration;allas n uskcm;0.001;1
Répartition par niveaux;taṭṭut s uswir;0.001;1
Santé reproductive;tadusi tamarrawt;0.001;1
Santé sexuelle;tadusi tawsyant;0.001;1
Secrétaire d'Etat;;0.001;1
Secrétariat général;tanflust tamatayt;0.001;1
Sida;ssida;0.001;1
Soja;ṣṣuja;0.001;1
Tente;axam / taxamt / agiṭun / axzan / aqiḍun;0.001;1
Télé;;0.001;1
Utilité publique;tanafut tagdudant;0.001;1
Vendeur  de vêtements;imzznz n tmlsa;0.001;1
Visa;tuẓṛit;0.001;1
Wakf (donation faite à perpétuité par un particulier à une œuvre d’utilité publique;lwaqf;0.001;1
Wali;lwali;0.001;1
abandon scolaire;tifli tanmlant;0.001;1
abjuration, apostasie;ufuɣ sg usgd;0.001;1
abrasion dentaire;anḥad n tɣmas;0.001;1
abri;asnfi;0.001;1
abus;asugt;0.001;2
accessoires de bain;iqcucn n tarda;0.001;2
accompagnement;tamunt / tamunt akd;0.001;2
accompli négatif;usmid anabaw;0.001;2
accouchement par césarienne;;0.001;2
accouchement prématuré;tarwa ur ismdn;0.001;2
accès de fièvre;alay n tmssi / aɣlay n tawla / aɣlay n trɣi;0.001;2
accès privé;asadf uslig;0.001;2
accès public;asadf agdudan;0.001;2
acné juvénile;;0.001;2
acte;alkaɣiṭ;0.001;2
acte d'état civil;;0.001;2
acte de naissance;arra n tlalit;0.001;2
action publique;aṣṛaḍ agdudan;0.001;2
administration centrale;tamssugurt tanammast;0.001;2
administration pénitentiaire;tamssugurt n iɣzwan;0.001;2
administration territoriale;tamssugurt n wakal;0.001;2
adresse postale;ansa asaway;0.001;2
adresse électronique;ansa alikṭṛuni;0.001;2
agence judiciaire;tasnurayt tazrfant;0.001;2
agent de la circulation;amawas n usikl;0.001;2
agonie;amuɣɣuy / izuma n tmttant;0.001;2
aide;aggʷas / amawas / awwas / tibidda / tiwisi;0.001;2
aider, épauler, assister;bdd akd;0.001;2
ail;tiskrt;0.001;2
aile;afr / afraw / tafrt;0.001;2
aine;asmɣur / awlal / taba / amnzu / ixfddi;0.001;2
air;aḍu;0.001;2
air antarctique;aḍu n usanuḍ n iffus;0.001;2
air continental;aḍu amnẓaw;0.001;2
air instable;aḍu ur izgin;0.001;2
air polaire;aḍu amsnuḍ;0.001;2
air pur;aḍu izddign;0.001;2
air sec;aḍu izwan / aḍu yuzɣn;0.001;2
air stable;aḍu iṛṣan;0.001;2
air tropical;aḍu amnanaḍ;0.001;2
air équatorial;aḍu n ukwatur;0.001;2
aire;asurg;0.001;2
aire cérébrale;tamnaḍt n wallxf / tamnaḍt n wanlli;0.001;2
aire sensitive;tamnaḍt n takayt;0.001;2
aire visuelle;tamnaḍt n yiẓṛi;0.001;2
aisselle;ddaw n tayt / tabqt / taddɣt / taydt;0.001;2
ajournement;asgir n tizi;0.001;2
alcoolique (matière);n walkul;0.001;2
alfa;ari / awddim / awri / tagrzi / tamatrt / tigẓḍmt;0.001;2
alun;aẓaṛif;0.001;2
amas;agudi / aqzzuy;0.001;2
amen;amin;0.001;2
amer;amṛẓag / ḥṛṛu;0.001;2
ami;amddakkʷl / amidi;0.001;2
ange;anglus;0.001;2
anis;wamsa;0.001;2
anse;afus / akaram / asagl;0.001;2
apex;afa / ticcut;0.001;2
arc;tiskt;0.001;2
ardu;mray;0.001;2
arme;akrrad;0.001;2
armer;skrrd;0.001;2
art;taẓuṛi;0.001;2
aube;tambabst / taylgi / tifawt / tufat;0.001;2
auge;asds;0.001;2
aval;amadl n uɣzar / amzdar;0.001;2
avec;ag(d) / akd / d;0.001;2
avis;aɛlam / tusmirt;0.001;2
axe;akum / asgum / tamrnut / tigzwt;0.001;2
bactériophage;mcc baktiri;0.001;2
baie;aqqa / aslallu;0.001;2
bail;arra n uɣafir;0.001;2
bain;tuccft;0.001;2
ballonnement;;0.001;2
banc des accusés;tadabut n imrdayn;0.001;2
bande annonce;asfif n tusmirt;0.001;2
bande côtière;asddi anslim;0.001;2
bande de fréquence;tamzazt n isnagarn;0.001;2
bande dunaire;asddi igidi;0.001;2
banque d'informations;;0.001;2
banque de sang;lbank n idammn;0.001;2
barrage collinaire;uggug n wawrir;0.001;2
barreau;agraw n imstann;0.001;2
barrière de confinement;;0.001;2
barrière à neige;iziki n udfl;0.001;2
barrières douanières;ifragn idiwann;0.001;2
barème de notation;amsɣal n usnqḍ;0.001;2
bas;adda / amazdar / anadda / izdar / wadday;0.001;2
bas de page;anadda n tsna;0.001;2
base;abuḍ / tasila / tasslt;0.001;2
base de connaissances;tasila n tussniwin;0.001;2
base de données;tasila n isfka / tasila n tmuca;0.001;2
basket-ball;tacamma n tsknit / tawjja n tsknit;0.001;2
baskets, espadrille;iburksn n tunnunt;0.001;2
basse plateau;taẓuḍa tamazdart;0.001;2
basses montagnes;idurar imazdarn;0.001;2
bassins d’audience;imdwan n ussfld;0.001;2
battement du cœur;;0.001;2
bave;aldda / amrmur / irɣzazn / tifulaẓ / tiluffaẓ;0.001;2
beau;abajju / afalkay / aɛḍṛawi / amusɣ / amɣuda / aṣbḥan / imiẓil / uṣbiḥ / sskn / cwu;0.001;2
bec;aqaddus / aqnqab / aqnqub / aɣnbuz;0.001;2
biceps;igigil / tabuɛjijt / tabuɛjijt n ufus / tabujjut / tigigilt n ufus / tigltmt;0.001;2
bien profiter;ut afus;0.001;2
biens communaux;agla amgru;0.001;2
biens confisqués;ayda ittyamaẓn;0.001;2
bilan d'étape;;0.001;2
bile;taruɣi / tawrɣi;0.001;2
bise;amḥḥac;0.001;2
bière;aman n tmẓin;0.001;2
blet;ruba;0.001;2
bleu;anili / acḥmi / azgza / inil / ukẓi;0.001;2
bloc opératoire;tadala n uflay;0.001;2
blé;irdn;0.001;2
bon;aɛḍṛawi / aqaddad / amaluɣ / aṣbḥan / imiḍfit / imiẓil / imṛwi / uṣbiḥ / ɣudu;0.001;2
bond;tabaṭct / taduyt / tiddzt;0.001;2
bord;agddim / amriru  / ibnk / idis / ir / tama / tasga;0.001;2
bouc;abukir / abṛṛiḍ / aɛrban / aqtrib  / amyan / ankkur / anugu / ikṛṛbḍ / iqbi;0.001;2
boue;abaḍxax / abiṭuṣ / abllaɛ / abluẓ / ablyuḍ / abrxix / allaɣ / aluḍ / amilus / aṛẓiẓ / llatux;0.001;2
bout;ixf / ttmi;0.001;2
boîte crânienne;taɣcact n yixf;0.001;2
boîte de peinture;tankult n iɣman;0.001;2
brin;tirzit;0.001;2
bru;taslit / tislit;0.001;2
brun;abaraɣ / admman / adndani / urɣis;0.001;2
brut;amsari;0.001;2
bus;ansmaddu;0.001;2
but;awttas;0.001;2
bât;aḥlas / tabarda;0.001;2
bâtonnier;amzwar n imstann / amɣar n imstann;0.001;2
bénéfice du doute;arraz n usurdu;0.001;2
bénéficiaire d'une aide collective;;0.001;2
béton armé;abɣli idusn;0.001;2
c'est lui qui est parti et non son frère;;0.001;2
c'est qu'il veut partir;;0.001;2
cabinet dentaire;tazzrayt taɣmsant;0.001;2
cadastre;asɣal afrkan;0.001;2
cadre légal;asati ulgin;0.001;2
cage;aqqfiz / iskni;0.001;2
cage thoracique;iskni n idmarn;0.001;2
cahier des charges;alug n waggʷatn;0.001;2
caisse de compensation;tafniqt n warraz;0.001;2
calcul biliaire;aẓṛu n yiẓi;0.001;2
calcul cystique;aẓṛu n tnbult;0.001;2
cale;abṛa / allal / asnks / tallzazt;0.001;2
camp;azazzr / tamrsiwt;0.001;2
campagne de presse;amzizzl anɣmas;0.001;2
campagne de publicité;amzizzl n usussn;0.001;2
campagne électorale;amzizzl amstay;0.001;2
caméraman;bu lkamiṛa;0.001;2
canal biliaire;asaru n yiẓi;0.001;2
cancer du poumon;;0.001;2
cancer du sein;akanṣiṛ n yiff;0.001;2
cancéreux;n ukanṣiṛ;0.001;2
cap;iɣir n yill;0.001;2
capacité d'intensification;;0.001;2
capillaires artériels;tazbalin n idammn / tinẓaḍin n idammn;0.001;2
capsule articulaire;taytrt n twrmt;0.001;2
car;ani  / acku / minzi;0.001;2
caractère gras;askkil azurar;0.001;2
caractère officiel;adriz amaddud;0.001;2
cardia;imi n uxdil;0.001;2
cardiologie;tasnijjit n wul;0.001;2
cardiologue;aḍbib n wul;0.001;2
carnet de santé;alug n tdusi;0.001;2
carrière (parcours professionnel);tudrt tazzulant;0.001;2
carte audio;takaṛḍa n imsli;0.001;2
carte climatique;takaṛḍa n ungigt;0.001;2
carte d'identité;;0.001;2
carte de séjour;takaṛḍa n uzdduɣ;0.001;2
carte de travail;takaṛḍa n twuri;0.001;2
carte grise;turagt n thirit;0.001;2
carte topographique;takaṛḍa taṭubugraft;0.001;3
cas;amdya / awanyan;0.001;3
cas primaire;;0.001;3
case;taxḍṛt / tuzunt;0.001;3
ce;a(d) / ddɣ;0.001;3
ce garçon (en question);arba lli;0.001;3
ce jour-là;ass ann;0.001;3
ceci;aya / ayddx / ddɣ;0.001;3
ceinture de sécurité;abkkas n tnfrut;0.001;3
cela;aya;0.001;3
cellule musculaire;taɣrast tanksumt;0.001;3
cent;timiḍi;0.001;3
cerf;azɣar;0.001;3
certificat d'enseignement primaire;;0.001;3
certificat du cycle collégial;aslkin n imir asmattag;0.001;3
certificat médical;aslkin amsnijji;0.001;3
ces;a(d) / ddɣ;0.001;3
cession de dette;amutti n umrwas;0.001;3
cet;a(d) / ddɣ;0.001;3
chef;amqran / amɣar / anssixf / aslway / ṛṛays;0.001;3
chez;dar / ɣr;0.001;3
choc;anakab;0.001;3
chou;abrzmmu;0.001;3
cil;abl / acbab / aẓalu;0.001;3
cime;aẓaylal / takyuḍt / taqiccit;0.001;3
cinq;smmus;0.001;3
cire;adqqis / adus / tikira;0.001;3
clan;afus;0.001;3
clou;amṣmaṛ / inflz;0.001;3
club;asgraw;0.001;3
clé;tasarut;0.001;3
code;aslgn / inigl;0.001;3
coin;;0.001;3
col;agṛḍ / tamggṛḍt / tizi;0.001;3
coma;tuktrt;0.001;3
coq;afullus / amujjuḍ / ayaẓiḍ;0.001;3
coup;tayti / tikti / tiyti;0.001;3
cour;amsiddar / aṛḥbi / asarag  / asays / tasnbḍayt;0.001;3
cri;aḍṛṛɛ / aḍṛwi / aɣuyyu / aɣwat / azzbrz / taɣuyyit;0.001;3
croc;aqrruc / tigiwlt;0.001;3
crue;angay / takaḍt / tawayt;0.001;3
cuve;abuqal;0.001;3
câble de répartition;izilm n taṭṭut;0.001;3
cérémonie donnée la veille de la nuit de noces;amkli n tmɣra;0.001;3
chambre;aḥanu / axxam;0.001;3
dalle;ablaḍ / islli / tablaḍt / tifirt;0.001;3
dame;lalla;0.001;3
dans;g / dg / jaj;0.001;3
dans deux ans;naf imal;0.001;3
dans une huitaine;imal ɣass;0.001;3
danse;adraz / aṛkaḍ / asyys;0.001;3
dard;tasuqqst / tasɣast / taẓnḍiḍt / tikft / tiqqst;0.001;3
date;asakud;0.001;3
dater;ssakud;0.001;3
de;n;0.001;3
de la tribu d'Ayt Warayn;;0.001;3
degré d'inclinaison;;0.001;3
degré d'inclinaison;;0.001;3
degré de température;tafsna n tmssi / tafsna n trɣi;0.001;3
delta;asawi / dilta;0.001;3
deltoïde;taksumt tadiltat;0.001;3
demande d’autorisation, demande de licence;tutra n turagt;0.001;3
demandeur d'asile;;0.001;3
deniers publics;tafniqt tagdudant;0.001;3
densité de l'air;;0.001;3
densité de l'air;;0.001;3
dent de sagesse;amɛqql / igyiw / tiɣmst n lɛql;0.001;3
dentine (ivoire);uẓṛ n tɣmst;0.001;3
dermatologie;tasnijjit n yilm;0.001;3
dermatologue;aḍbib n yilm;0.001;3
dermatose;tamaḍunt n yilm;0.001;3
dette;amrwas / tanmmirust;0.001;3
deux;sin;0.001;3
devin;agzzan / akhhan;0.001;3
digue;asggaru / uggug;0.001;3
dires;timnna;0.001;3
djinn;azɣuɣ;0.001;3
don;tikki;0.001;3
donc;ilmma;0.001;3
dons;timuca;0.001;3
doré;awrɣi;0.001;3
dose;tujawt;0.001;3
dot;abṛnuṣ / amrwas / taggalt;0.001;3
doute;amija / anzzul / asurdu / ackki / tazakkt / turda;0.001;3
doux;amlwaɣ / anslulf  / imiḍfit / umzi;0.001;3
drap;amiẓaṛ / liẓaṛ;0.001;3
droit;afasi / afusi / akil / amaɣud / azrf / izrf / nuya;0.001;3
dune;afund / aẓalul / tigidit;0.001;3
duper;qddc / ɣcm / ssknd;0.001;3
dur;mray / ṭnṭn;0.001;3
durer;ɣlla / sul / zga;0.001;3
décharge;asrus n tmstggart / ugu;0.001;3
déchaussement de la gencive;uzuf n uxsan / uzuf n tɣmas;0.001;3
déchéance de la nationalité;ukus n tɣlant;0.001;3
décision du conseil;taɣtast n usqqim;0.001;3
déclaration de presse;tasguri tanɣmast;0.001;3
déconnexion;ubuy n uzday;0.001;3
découpage administratif;agzam amssugur;0.001;3
découpage analytique;agzam asfsay;0.001;3
découpage technique;agzam atiqni;0.001;3
découpage électoral;agzam amstay;0.001;3
défense nationale;amzaɣ anamur;0.001;3
déferlement d'informations;;0.001;3
défi;amɛali / tanẓṛt;0.001;3
défunt;amttin / igllin n (-ism n umttin);0.001;3
dégrever;ssifsus argay;0.001;3
dégrèvement d'impôt;;0.001;3
délégation journalistique;akabaṛ n inɣmasn;0.001;3
délégation provinciale;tamurayt tasgawant / tasmirit tasgawant;0.001;3
délégation régionale;tamurayt tanmnaḍt / tasmirit tanmnaḍt;0.001;3
démission;ufuɣ zi twuri / tittiyt;0.001;3
déni de justice;tagʷit n tzrft;0.001;3
dépistage;alday n iɣnca / alday n tmaḍunt;0.001;3
déplacement de la mâchoire;tikni n wagja;0.001;3
dépression aérienne;uguz n waḍu;0.001;3
dépôt légal;asrus ulgin;0.001;3
dérivé (être -);ffɣ zg;0.001;3
dîme;azni;0.001;3
dôme;lqubbt;0.001;3
eau de fleur d'oranger;;0.001;3
eau de pluie;;0.001;3
eau de rose;aman n tzwiwɣt;0.001;3
effet;tusurt;0.001;3
effet rétroactif;tusurt timdwlt;0.001;3
effets secondaires;tusurin tisinanin;0.001;3
elle;nttat;0.001;3
elle est enceinte;tlla s udis;0.001;3
elles;nitnti;0.001;3
emblème;tamatart n uburz;0.001;3
emblème du royaume;tamatart n uburz n tgldit;0.001;3
empan;tardast;0.001;3
en cachette;s turksa;0.001;3
en ce temps-là, alors, à ce moment-là;akud ann;0.001;3
en cours d'acquisition;;0.001;3
en différé;war asrad;0.001;3
en vigueur;g uzzgir;0.001;3
enceinte (être-);tla aḥlig;0.001;3
encore;daɣ / dix / dix altu / ɛad / sul;0.001;3
endocrinologie;tasnijjit n twlsas;0.001;3
endocrinologue;aḍbib n twlsas;0.001;3
endomètre;idis  n usirw / idis n urɣn;0.001;3
enfant légitime;arba uzrif;0.001;3
enfer;jahnnama;0.001;3
enjeu;amsaras / amsḥṛam;0.001;3
ennui;aɣuruf / tazrrawt;0.001;3
enregistreur de CD;amsusr n tqaṛiḍin tuddizin;0.001;3
enseignement traditionnel;aslmd aqbur;0.001;3
ensuite;aha / daɣ / fad ilmma / ilmma / imil / iwa;0.001;3
entité juridique;ili ulgin;0.001;3
entre;gr / ingr / ngr;0.001;3
entérobactérie;tabaktirit n wadan;0.001;3
entête;ixf n tsna / aqmcac / amɣnan;0.001;3
entêtement;aknas / amɛali / amɣanan / aɣnan / iɣnan / taɣart n yixf / taɣnnant;0.001;3
envie;imzri;0.001;3
envoi;askki / asqadi / asifḍ / azan;0.001;3
envol;afay / taylalt;0.001;3
ergot;ajkjḍ / tacrmuft;0.001;3
errer;ḍiw / jlu / lglg / lli / llillḥ / nuda / ɣaɣa / sgzdf / ttlli;0.001;3
essai;irim / tarmit;0.001;3
esse;asagl;0.001;3
est;lqblt;0.001;3
et;d;0.001;3
etc.);amitr / asmuḍ / ffurs / ffrsl;0.001;3
eux;nitni;0.001;3
exigu;qmr / sḥnnq;0.001;3
exil;aḍlib / asiggʷj / azwag / icki;0.001;3
face;aẓi / udm / taẓamumt;0.001;3
facteur d'érosion;;0.001;4
facteur externe;amskar n bṛṛa;0.001;4
facteur interne;amskar  agʷnsan;0.001;4
fade;abasal / amqqnzez / amssas / ulmis / ssmsus;0.001;4
faim;buhyyuf / laẓ;0.001;4
faire attention;awi bɛit / kamd / ḥkkr / rar taɣḍft / rar taynit;0.001;4
faire attention, prendre soin de, ménager;ḥawl xf;0.001;4
faire des efforts;g nn tuggas / kuyey;0.001;4
fait;imggi / imjṛi;0.001;4
fait d'ouvrir extrêmement les yeux;;0.001;4
fait divers;imjṛi awassan;0.001;4
falaise fracturée;agnza iṛẓan;0.001;4
faon;uhim / uzim;0.001;4
fatigue musculaire;awḥal anksum;0.001;4
faux;armidi;0.001;4
fax;afakṣ;0.001;4
femme d'affaires;;0.001;4
fer;uzzal;0.001;4
fer);tazrgt;0.001;4
fermeture de frontière;argal n igmirn;0.001;4
fesse;aḍnfif / amsl / tazukt;0.001;4
feu;afa / aẓiẓn / lɛafit / takat / timssi;0.001;4
feu);nṭmṣ;0.001;4
feux de signalisation;asidd n usikl;0.001;4
fibre nerveuse;talzazt tanzlumt;0.001;4
figue sèche;tazart yuzɣn;0.001;4
fil;afilu / afulu / aɛccib / ifilu;0.001;4
fil horizontal (trame);afilu n usra;0.001;4
file;absrur / adras / asrrabu;0.001;4
filière des études;asaka n tɣuri;0.001;4
fille d'Ali;;0.001;4
film;lfilm;0.001;4
film d'archives;;0.001;4
film de divertissement;lfilm amsurar;0.001;4
film documentaire;lfilm untim;0.001;4
film expérimental;lfilm anaram;0.001;4
film muet;lfilm ifstn;0.001;4
film éducatif;lfilm asgman;0.001;4
fils;memmi;0.001;4
fils de Brahim;u bṛahim;0.001;4
fin;amnɣud / aslkakaḍ / asmur / azbabay / isdid / izbub / tasbddt / tigira;0.001;4
fin de détachement;asmur n unufsl;0.001;4
finalement, il n’a pas acheté la maison;ur sul isɣi tigmmi;0.001;4
fini;kmml;0.001;4
fixation du regard;anḍaṛ n tiṭṭawin;0.001;4
fixer;sikl / snal / sunnḍ / ssṛṣu / sttɣi / zzgu;0.001;4
fixer un rendez-vous;wwt taktut;0.001;4
fièvre de fatigue;tawla n uwḥal / tawla n ṛṛmuyt;0.001;4
fièvre rhumatismale;tawla n urumatizm / timssi n urumatizm;0.001;4
fièvre tertiaire;tawla tamkṛaḍt / timssi tamkṛaḍt;0.001;4
fleuve glaciaire;asif ugris;0.001;4
fleuve large;amɣar n isaffn / aɣzr abaraw;0.001;4
fleuve tournant;asif iṛẓan;0.001;4
