Français;Kabyle;Fréquence_Pourcentage;Niveau
flore endémique;imɣayn imsdɣarn;0.001;4
flou;amaggu;0.001;4
foi;taflst;0.001;4
fois;mullu / tikklt;0.001;4
folivore;;0.001;4
fonction opérationnelle;tasɣnt tumhilt;0.001;4
fonction pédagogique;tasɣnt tabidagujit;0.001;4
force;aggaḍ / afud / amnna / immir / taggalt / tadusi / tiɣṛaḍ;0.001;4
fort;amaka / amḍẓun / anddabu;0.001;4
forum;asgraw;0.001;4
fou;abuhali / aḥibur / aḥyuḍ / amxlaw / aminun / amṣuḍ / amtabri / anafal / ḥḥuyḍ / ḥuyḍ;0.001;4
four;afarnu / afṛṛan;0.001;4
foyer;axam / almssi / isfrg / tafqqunt / takat / tiɣrɣrt;0.001;4
froid;akram / aqraf / aṣmmiḍ / aẓṛṭiṭ / uqrif / taṣmḍi / taṣmuḍi;0.001;4
fuir;rwl;0.001;4
fémur;aɛjjammu / iɣss n taɣma;0.001;4
fête du trône;tamɣra n udabu;0.001;4
fête inaugurale du mariage;uffuy n tmɣra;0.001;4
gage;tadggart ittyamaẓn;0.001;4
gai;anfṛaṛaḥ;0.001;4
gain;abɣur;0.001;4
gale;ajjiḍ / ajjiḍ amkṛuḍ / ajṭṭiḍ / aldjiḍ;0.001;4
galet;aggun / akẓaẓ / awwun / urf / tidit / tiflt;0.001;4
galop;tarula;0.001;4
gant;almfus;0.001;4
gant de toilette;almfus n tarda;0.001;4
garde;aḍaf / aḥṭṭu / amagaẓ / anmutr / tiḥḍi;0.001;4
garde à vue;;0.001;4
gare (train);asrs n ulaway;0.001;4
garou;alẓẓaẓ;0.001;4
gaule;anzl / aṣllab;0.001;4
gaz;agaz;0.001;4
gaz carbonique;agaz akaṛbun;0.001;4
gaz d'ozone;;0.001;4
gaz naturel;agaz agaman;0.001;4
gaz toxique;agaz iẓini;0.001;4
gazométrie;tamsɣalt n ugaz;0.001;4
gecko;tiqlit;0.001;4
gel;agris;0.001;4
geler;gussm / grs / rsl;0.001;4
gencive;aksum n tɣmas / tamra / taniwt / tifiyi n uxsan;0.001;4
genre;anaw / asrtu / tasrtut / tawsit;0.001;4
gens;iwdan / middn;0.001;4
gerbe;acmin / acttug / idɣ / tadla / tadɣa / taflluyt / taqttunt / taɣwwint / tackkʷit  / tirrit / tirrct;0.001;4
gestion des déchets;aswuddu n warras;0.001;4
gifle;abariq / abqqil / abrqiɛ / aḍmmil / aḍmmiṣ / amddil / amxriq / amrriq / asqqil / aṣffiḥ / aṣlbiḍ / urdiḥ / tasggirt;0.001;4
gigot;aḍaṛ / tilizza;0.001;4
gilet;tabdɛit / tabzizt / tasdirt / taccayt;0.001;4
gingivite;abzag n tfiyi n uxsan / abzag n tmra / admj / tufft n uksum n tɣmas;0.001;4
giron;agiwal / agusi / aḍṛan / aḥsi / aḥciwc / arbi / acyun / ikcci / isi;0.001;4
glande endoctrine;tawlsist ifstn;0.001;4
glande exocrine;tawlsist tamsufɣt;0.001;4
glande lymphatique;tawlsist talmfat;0.001;4
glande thyroïdienne;tawlsist tafṛṭeṭṭut;0.001;4
glissement de terrain;aḥluttf n wakal;0.001;4
globe solaire;tiṭṭ n tafukt;0.001;4
globule blanc (leucocytes);taknunnayt tumlilt;0.001;4
globule rouge;taknunnayt tazggʷaɣt;0.001;4
glossite;abzag n yils / tufft n yils;0.001;4
glue;aslɣaɣ;0.001;4
golf;aslallu / aẓla;0.001;4
gomme;taɣnɣant / tasffaḍt / mḥu;0.001;4
gond;awrz;0.001;4
gorge;abuḥcic / agṛḍ / aḥrsi / aqrjuḍ / iri / taqqayt / tamijja / taɣya;0.001;4
gourmand;amacciw / bu tmimin;0.001;4
gousse d'ail;;0.001;4
goutte de pluie;timqqit n unẓaṛ;0.001;4
gradient thermique;amskʷfl n trɣi;0.001;4
grain;akka / aḥbbi / aḥbub / aqqa / iḥbbi / taɛqqayt / taqqayt;0.001;4
grand;akswat / axatar / aqrdal / amqran / aɣzzaf;0.001;4
grand angle, grand coin;tiɣmrt tamqrant;0.001;4
grand cordon;allam amqran;0.001;4
granivore;mcc mndi;0.001;4
gras;aḍbbuẓ / amdlallag / amnssl / imqwi;0.001;4
graveur de CD;amgzay n tqaṛiḍin tuddizin;0.001;4
greenwich;azrig n grinitc;0.001;4
gril;asknf / tuknift;0.001;4
grippe aviaire;adxcam n waylaln;0.001;4
gris;abẓaw / adrdac / amɣdeddi / azazar;0.001;4
gros;abarar / adbbi / aḍbbuẓ / aqbbuz / amqqnjr / atmran / aṭṭbbuẓ / azntar / azurar / ḍni / uḍnay / ssḍni;0.001;4
gros orteil;tafdnt tamqrant;0.001;4
gros plan;asulf asmssi;0.001;4
grotte marine;ifri n yill;0.001;4
groupe audiovisuel;tagrumma tasliẓiṛt;0.001;4
groupe média;tagrumma tanɣmast;0.001;4
groupe sanguin;;0.001;4
groupe scolaire;tagrart tanmlant;0.001;4
grâce royale;asurf agldan;0.001;4
grès;ifrsggi;0.001;4
guet;anbdur;0.001;4
guide;amanar;0.001;4
guts;taḍwwaṛt;0.001;4
gué;asakʷi;0.001;4
gymnastique;tunnunt n umiẓḍ;0.001;4
gynécologie;tasnijjit n twtmin;0.001;4
gynécologue;aḍbib n twtmin;0.001;4
géosphère;asatl n wakal;0.001;4
gêne;tassast;0.001;4
habile;amddnki / amfulls / caṭṛ;0.001;4
habilitation à la recherche;aẓḍaṛ i urzzu;0.001;4
habit;aḥruy / timlsit;0.001;4
habits;aṛṛuḍ;0.001;4
hache;acaqur;0.001;4
hacher;qsses;0.001;4
haie;afrag;0.001;4
haine;aksan / akyaḍ / amyacaḍ;0.001;4
hall d’expositions;asarag n usfsr;0.001;4
hameau;ifɣl;0.001;4
hanche;agums / agrru / acṭṭaṛ;0.001;4
handball;tacamma n ufus / tawjja n ufus;0.001;4
handicap permanent;aɛḍubu amɣlal / ammuɛḍṛ n wabda;0.001;4
harcèlement;ukus n tibar;0.001;4
hargne;aqnẓṛ;0.001;4
hausse des températures;uluy n trɣi;0.001;5
haut;agnar / aflla / amajjyal / amattay / anaflla;0.001;5
haut plateau;taẓuḍa tanafllat;0.001;5
haut-parleur;amuffay n imsli;0.001;5
haute cour;tasnbḍayt tamattayt;0.001;5
hautes montagnes;idurar attuynin;0.001;5
hauteur de l'eau;;0.001;5
hauteur de précipitation;;0.001;5
haïk;afaggu / aḥayk;0.001;5
haïr;ksn / nkr;0.001;5
hennir;nhm / nḥiḥḍ / snḥiḥḥr / snḥnḥ;0.001;5
henné;amitr / anlla / lḥnni;0.001;5
hernie;abɛij / imlẓi / tabɛɛijt;0.001;5
heure;asrag / tassaɛt;0.001;5
heure de grande écoute;akud n tmsliwt s tugt;0.001;5
hiatus;amagr n iɣritn;0.001;5
hibou;tawukt / tawwugt;0.001;5
hier;assnnaṭ / iḍgam / iḍlli / iḍnnaṭ / ndiwass;0.001;5
hiver;tagrst;0.001;5
hiérarchie administrative;taskala tamssugurt;0.001;5
honte;azwar;0.001;5
hoquet;tanxsist / tiḥiṭṭit / tiqqst;0.001;5
horizon;amnid / igli / inniy / inniy n tiṭṭ;0.001;5
horloge, pendule;tamsragt yugln;0.001;5
hors champ;bṛṛa n yigr;0.001;5
houe;ajṛṛaf / algun / amadir;0.001;5
houle;izammarn;0.001;5
houppe;actu / takunbut / takʷbalt / taɛyyact / taskunt / tawtat;0.001;5
hoyau;tacṛṛaḍt;0.001;5
huile;azatim / zzit;0.001;5
huissier de justice;amawas anzraf;0.001;5
humain;anfgan;0.001;5
humeur;aṣniɛ;0.001;5
humide;mmɣ;0.001;5
humidité de l'air;;0.001;5
humérus;awtr / iɣss n yiɣil;0.001;5
huppe;bu izan;0.001;5
hurler;blbḍ / ɛwwg / izzif / nẓi / sɣuyy;0.001;5
hutte;aḥcuc / aɛcuc / anwal;0.001;5
hydrosphère;asatl n waman;0.001;5
hygromètre;tamsɣalt n ugundu;0.001;5
hymen;tindrt;0.001;5
hymne national;izli anamur;0.001;5
hyperglycémie;alay n tglisimt;0.001;5
hyperglycémie;alay n tglisimt;0.001;5
hypermétropie;tiɣzi n iẓṛi;0.001;5
hypertension;;0.001;5
hypertrophie cardiaque;abzag n wul / tufft n wul;0.001;5
hypoglycémie;uguz n tglisimt;0.001;5
hypotension;aṭanṣyu iggʷzn;0.001;5
hâte;addraf / aqllq / asddrf;0.001;5
hémiplégie;akucm uzgin;0.001;5
hémodialyse;adyaliz / asizdg n idammn;0.001;5
hémoptysie;iraran n idammn;0.001;5
hémorragie artérielle;asriddm aẓuṛan;0.001;5
hémorragie cérébrale;asriddm allxfan;0.001;5
hémorragie veineuse;asriddm n wamig;0.001;5
héméralopie (cécité nocturne);abukḍ n yiḍ / butllis / tudrɣlt n yiḍ;0.001;5
hépatite;afduddr n tasa;0.001;5
héritier du trône;amkkasu n tgldit;0.001;5
héros;abḥli / anaḍ / anbraz;0.001;5
hôpital de jour;asgnaf n wass;0.001;5
hôte;amagar / anbgi / anuji / tinbgiwt;0.001;5
ici;da / daha / ida / ɣi;0.001;5
identité visuelle;tamagit n iẓṛi;0.001;5
idiot;abkbuk / abhlal / abuhali / aqffuḥ / aqilul / amknun / dduqqr / ḥḥuyḍ / ḥuyḍ;0.001;5
idiotie;aflls / tabuhalit;0.001;5
idée;tawngimt;0.001;5
ignoble;ahrdun / iriz;0.001;5
ignorant;aqbbani / aqubban / amguf / amnzuɣ / war tussna;0.001;5
il a  soif;inɣa t fad;0.001;5
il a acheté les vêtements pour sa fille;;0.001;5
il a des coliques;inɣa t uẓbbaṛ;0.001;5
il a donné la paille à la vache;ifka alim i tfunast;0.001;5
il a faim;inɣa t laẓ;0.001;5
il a finalement trouvé ce qu'il cherchait;;0.001;5
il a lu ce livre;iɣra adlis a;0.001;5
il a lu le livre que tu lui as donné;iɣra adlis lli as tfkid;0.001;5
il a écrit la lettre à la main;yuri tabrat s ufus;0.001;5
il est allé à la maison;idda s taddart;0.001;5
il est fou;digs butabr;0.001;5
il est malade;inɣa t kra;0.001;5
il fait froid ces jours-ci;;0.001;5
il regrette;tuɣi tt tgṛẓawt;0.001;5
il t'insulte et tu t'es tu !;;0.001;5
il voyagera en été;rad immuddu g unbdu;0.001;5
il y avait, il était une fois;ikka tt inn;0.001;5
il étudie encore;ar sul yaqqra;0.001;5
illustrations musicales;anawn n uẓawan;0.001;5
image;tawlaft;0.001;5
imagerie par résonance magnétique (IRM);asulf s ungng amɣnaṭiṣ;0.001;5
images de synthèse;tiwlafin tusniyin;0.001;5
images en mouvement;tiwlafin ttmussunin;0.001;5
imberbe;almmag / alumaẓ;0.001;5
imbiber;zzbzg;0.001;5
immense;anallam;0.001;5
immonde;amuṛḍuṣ;0.001;5
immoral;war taɣara;0.001;5
immunité collective;taggaẓt tamgrut;0.001;5
immunité diplomatique;taggaẓt tadiblumasit;0.001;5
immunité parlementaire;taggaẓt tabṛlamanit;0.001;5
immunodéprimé;amudrus n taggaẓt / amudrus n tiqqilt;0.001;5
impact;tusurt;0.001;5
impair;waxiḍ / waẓẓ;0.001;5
impayé;ur ifrin;0.001;5
impoli;aɛffan;0.001;5
impôt;argay / tafṛiḍt / tayusi;0.001;5
inciter;ng / nzl / ucuc / yis;0.001;5
inclure;ssumu;0.001;5
index;uskin;0.001;5
indice;anmmal;0.001;5
infecte;anxmuj;0.001;5
infirme;rzm;0.001;5
infixe;amẓun;0.001;5
inion;tamlmut;0.001;5
initial;asntay;0.001;5
injure;tukkra;0.001;5
injuste;amrkkʷid;0.001;5
innover;snflul;0.001;5
inquiet;ḥyyṛ;0.001;5
insecte;abaxxu / abbuɛ / abɛɛuc / abxxuy / akindu;0.001;5
insulte;azawr / tamzawart / targgimt / tukkra;0.001;5
interne;agʷnsan;0.001;5
intuber;ssldu;0.001;5
inutile;abḍil;0.001;5
inviter;ɛṛḍ / ɣr / snbgi;0.001;5
invité;aqbil / amagar / anbgi / anuji;0.001;5
ire;asyas;0.001;5
iris;mmikʷlan / talillut;0.001;5
ironie;aṭnaẓ / taṭnẓit;0.001;5
irriter;ɣdded / skufr / sqllq / sskfṛ;0.001;5
isoler;ẓli;0.001;5
issue;tufɣt;0.001;5
ivette;tamulla / tufṭṭlba;0.001;5
jabot;aglu / aḥaglu / asgru / taqinsat;0.001;5
jadis;tizwira / zik;0.001;5
jardin d'enfants;;0.001;5
jarre;axsal / aqbuc / aqllal / aqlluḥ / aɣssal / acbari / taxabit / taqduḥt;0.001;5
jatte;aḥllab / taqnuct;0.001;5
jaune;awraɣ;0.001;5
je sais qu'il pleut;;0.001;5
jeter;bru / gr / luḥ / nḍb / nḍṛ / uswi / rdx / sbzzɛ / syyb / zli / ẓawḍ / ẓṛṛḍ / ẓẓṛyḍ;0.001;5
jeu;axmmṛ / urar;0.001;5
jeu de cartes;tasurart n tkaṛḍa;0.001;5
jeu de domino;tasurart n ukrbabbay;0.001;5
jeudi;akwas;0.001;5
joie;amiri / asmuzzu / tadawit / taraka / tumrt;0.001;5
joint;asmsl;0.001;5
jonc;abuda / asllbu / azlaf / aẓmu / aẓẓmay;0.001;5
joue;aglluẓ / agrbij  / amadl / amgiz / anbuz / anbuẓ / anji / taggayt;0.001;5
jouer;hḍṛ / ɛyaṛ / xmmr / xmmṛ / irar / laha / urar;0.001;5
jouet;taqcuct / tasurart;0.001;5
joufflu;albbux / bu imgizn;0.001;5
joug;aḥallas / azzaglu / tazglut;0.001;5
jour de l'an;;0.001;5
juge;anbḍu;0.001;5
juge d'instruction;;0.001;5
juger;bḍu;0.001;5
juif;uday;0.001;5
juin;yunyu;0.001;5
jupe;abrsur / tasafa;0.001;5
jurisconsulte;amuzay n tzrft;0.001;5
juste;bḥṛa;0.001;5
justice administrative;tazrft tamssugurt;0.001;5
justice sociale;tazrft tanamunt;0.001;5
justification à droite;asmisi ɣr ufasi;0.001;5
justification à gauche;asmisi ɣr uẓlmaḍ;0.001;6
karaté;kaṛaṭi;0.001;6
khella;tabcniqt;0.001;6
khettara;tarɣt;0.001;6
kilogramme;akilu;0.001;6
kimono;akimunu;0.001;6
kinésithérapie;altaf amsnijji;0.001;6
kyste;takurt / takccult;0.001;6
l'exécution des jugements;;0.001;6
la maison où il habitera est grande;tmqqur taddart mani ɣa izdɣ;0.001;6
"la neige a cessé ; il ne neige plus.";yusi udfl;0.001;6
la neige a fondu;ifsi udfl;0.001;6
label;tamatart tasɣnzit;0.001;6
label de qualité;tamatart n tɣara;0.001;6
laboratoire;asarm / asarm n usfsi;0.001;6
lac;aglmam / agʷlmim / talact;0.001;6
lac glaciaire;aglmam ugris;0.001;6
lac litorale;aglmam anftas;0.001;6
lac tectonique;aglmam ataktun;0.001;6
lacet;axattar;0.001;6
laid;axccan / amlluxcu / amnnuɣju / anssaraf;0.001;6
lait frais;aɣi acffay / aɣɣu icfin;0.001;6
lama;alama;0.001;6
lame;asari / taxdmit / tazzit / tizzt;0.001;6
lampe;anir / asfiw / asil / tasafut;0.001;6
lance;aḥric / ididl / tafala / taqnawt;0.001;6
langue officielle;tutlayt tamaddudt;0.001;6
laquelle ?;man ta;0.001;6
larme;amṭṭa / imṭṭi;0.001;6
las;amuḥul / anṛmuy;0.001;6
latitude;azrig n turrut;0.001;6
latte;adrsis;0.001;6
lave-linge;tamssirdt n tmlsa;0.001;6
lave-vaisselle;tamssirdt n ifckan;0.001;6
le;t;0.001;6
lentement;s ttawil;0.001;6
lentille de caméra;tiṭṭ n lkamiṛa;0.001;6
lentille de contact;tilintit tusliɣt;0.001;6
lequel ?;man wa;0.001;6
les cinq sens;takayin s smmust;0.001;6
leur;nnsn / nnsnt;0.001;6
levé;anamtan / umtin;0.001;6
libre;adrfi / amcix / sula;0.001;6
licol;atrku / aṭṛku / taglult / tawrit;0.001;6
lie;abrtix;0.001;6
lien;akarif / askrf / asqqn / asɣun / azday / taɣuni / tiɣuni / tuqqna;0.001;6
lier;zdi;0.001;6
lieu;adɣar / amkan / amml / ansa / araq;0.001;6
lime;talima;0.001;6
limon;abaḍxax;0.001;6
lion;agrzam / ayrad / buhrru / izm;0.001;6
lire;ɣr;0.001;6
liste;asddi / talgamt;0.001;6
lit;alktu / alitu / tasyut / tisi;0.001;6
local;abldi / adɣran;0.001;6
loi;izrf;0.001;6
long;ahrradi  / aɣzzaf / azgrar / uɣzif / zgrt;0.001;6
lot;amur / taysɣart;0.001;6
louer;alɣ / kra / kru / cnnɛ;0.001;6
loup;asɣda;0.001;6
lueur;axdad / tafuffut;0.001;6
lui;ntta;0.001;6
luth;ardin;0.001;6
lutte;abubbar / amlasay / amyabbar / anhittf / imiɣ (ak)d ... / tabubbart / tamaẓla / tamlasayt;0.001;6
lynx;amucc abṛṛan / arksim / awdal / tisggḍt;0.001;6
là-bas!;dinn  / ɣinn;0.001;6
légalement;s tɣarast tulgint;0.001;6
légalisation de signature;asɣzn n usgmḍ;0.001;6
légitime défense;amzaɣ ulgin;0.001;6
légumes-feuilles;icakan id bu wawsay;0.001;6
légumes-fleurs;icakan id bu tnwwacin;0.001;6
légumes-racines;icakan id bu iẓuṛan;0.001;6
légumes-tiges;icakan id bu iṣnṣan;0.001;6
légumineuses;icakan id bu waqqayn;0.001;6
ma;inu;0.001;6
magistrat, procureur;amari amatay;0.001;6
magnétoscope;amsusr n twlafin;0.001;6
maillot de bain;timlsit n ucucf;0.001;6
mainlevée;afsay n tdggart;0.001;6
maire;anssixf n tgrawt;0.001;6
mais;imma / mac / walaynni / axllad / amzgur / asngar;0.001;6
maison de l'artisan;;0.001;6
majeur;aḍaḍ amqran / amtrug;0.001;6
mal;amalad / takmmawt;0.001;6
mal de tête;arjaf / iɣnca n yixf;0.001;6
mal des transports;timlillay n wassayn;0.001;6
malade mental;amaḍun ungim;0.001;6
maladie auto-immune;tamaḍunt n tmaggaẓt tanimant;0.001;6
maladie contagieuse (transmissible);tamaḍunt ittmattayn;0.001;6
maladie héréditaire;tamaḍunt ittukkusn;0.001;6
maladie incurable;taḥlalast / tamaḍunt ur ittgnfan / tamaḍunt ur ittjjin;0.001;6
maladie psychique;;0.001;6
maladie vénérienne;tamaḍunt tarisant;0.001;6
maladies cardiovasculaires.;tamaḍunt n wul d iẓuṛan;0.001;6
malin;aqttun / amcum / uẓwiṛ;0.001;6
malnutrition sous-alimentation;gar utci;0.001;6
maltraitance des enfants;amrrt n imẓẓyann;0.001;6
maman;imma / immi;0.001;6
manteau neigeux;aɣamus n udfl;0.001;6
marcher à reculons;ugur ɣr tkrmin;0.001;6
marché public;tamsmhalt tagdudant;0.001;6
mardi;asinas;0.001;6
mare;amglagal;0.001;6
mari;argaz;0.001;6
marine marchande;tasɣnzit taylant;0.001;6
marque déposée;tamatart ittuzmmamn;0.001;6
mars;maṛṣ;0.001;6
marée basse;tayssa n yill;0.001;6
marée haute;ifil / tawant n yill;0.001;6
masque chirurgical;takmamt tanflayt;0.001;6
masse;aqlluz / tasakayt / tazduzt;0.001;6
masse d'air;;0.001;6
maternité;tammat / ṣṣbiṭaṛ n tarwa;0.001;6
matière contaminée;imis n umsiɣi;0.001;6
mauvais dîner vaut mieux que mauvais propos;yuf gar imnsi gar awal;0.001;6
mauvaise foi;gar taflst;0.001;6
maïs;imma / mac / walaynni / axllad / amzgur / asngar;0.001;6
me;iyi;0.001;6
menteur;ablɛuḍ / bu iḥllaln / bu ixrriqn / bu icttiḥn / bu tkrkas;0.001;6
menu;talgamt;0.001;6
merci;tanmmirt;0.001;6
merle;ajagju / ajḥmum / amjjku / asqsaq / atcḥmuḍ / tabuybaxt;0.001;6
mes;inu;0.001;6
mets;macca;0.001;6
miche;tunnirt;0.001;6
miel;tammemt;0.001;6
milan;asiwan / aswwan;0.001;6
mille;alf / ifḍ;0.001;6
mince;amɛlal / amudrus / aslkakaḍ / azbabay / azdad / imisdid / usdid;0.001;6
mine;azlam / udm / tagʷlimt / ticci;0.001;6
mite;imcci / takinda / tazura / tunya / mrumd;0.001;6
mité;imcci / takinda / tazura / tunya / mrumd;0.001;6
moi;nkk / nkki;0.001;6
moine;aṛhib;0.001;6
mois;ayyur;0.001;6
mon;inu;0.001;6
mont;aɛrmum / isk;0.001;6
monte;tanaka / tasudut;0.001;6
mors;aṭṛku / ṣṣṛimt;0.001;6
mort;amttin / tamttant;0.001;6
morve;axlul / axnnir / aqnnin;0.001;6
mot;taguri;0.001;6
moto;tasnsɣalt;0.001;6
mou;aḥruray / amlwaɣ / bullɛ;0.001;6
moule;tigri;0.001;6
mucus;insirn;0.001;6
mue;aslsu / asray / isnsr;0.001;6
muet;abkkuc / agnaw / aɛnẓul / alawlaw / azaynun / aẓiẓun / iglili;0.001;6
mufle;agntur / agcmir / ancr / acndur / acrdud;0.001;6
mugir;rmrm / smuhrt / sungu / zungi;0.001;6
mur;agadir / aɣrab / imiri / tabya / nwu;0.001;6
mâchoire inférieure;agja n izdar  / amayɣu / angug / tirmst;0.001;6
mâchoire supérieure;agja n uflla;0.001;6
mâle;awtm;0.001;6
méandre de la rivière;tiṛẓi n wasif;0.001;6
médecine générale;tasnijjit tamatayt;0.001;6
médecine interne;tasnijjit tagʷnsant;0.001;6
médecine légale;tasnijjit tulgint;0.001;6
médecine préventive;tasnijjit tamarayt;0.001;6
médire;msffad  / nqj / zdm dg;0.001;6
mémoire auditive;tawngimt timslit;0.001;6
ménopause;ibddi n islilan;0.001;6
même;aggʷd / agʷd / awd / ula;0.001;6
mûr;agadir / aɣrab / imiri / tabya / nwu;0.001;6
nage;acucf;0.001;6
nager;ftḥ / ccf;0.001;6
nain;axmuc;0.001;7
nanti;anbɣur;0.001;7
nasal;unzir;0.001;7
natte;agrtil / aqicc / ajṭṭuy / acḥuḥ / mcc / taḍṛṣt;0.001;7
navet;tagllat / tarkkimt / tirkmt;0.001;7
naviguer sur le Net;ssara / ssara g lwib;0.001;7
naïf;abujadi / abɣɣu / amhul / aminun;0.001;7
ne jamais;ur djin;0.001;7
ne jamais (dans le passé);ur jju;0.001;7
nerf moteur;azllum ansmassu;0.001;7
nerf moteur oculaire;azllum ansmassu n tiṭṭ;0.001;7
nerf optique;azllum imẓṛi;0.001;7
nerfs crâniens;izllumn n tɣcact;0.001;7
net;amsari / amzdag / uzdig;0.001;7
neuf;tẓa;0.001;7
neurologie;tasnijjit n izllumn;0.001;7
neurologue;aḍbib n izllumn;0.001;7
neurone;taɣrast tanzlumt;0.001;7
neuvième;wis tẓa;0.001;7
niais;abahnas / amhul / amɣndf;0.001;7
nid;agḍf  / agʷdf / agʷlf / adif / akʷtf / isski / usud;0.001;7
nier;nakṛ;0.001;7
nivation;tazuzzft s udfl;0.001;7
nivomètre;tamsɣalt n udfl;0.001;7
nodal;amkrus;0.001;7
noir;abxxan / abrkan / abṛṛan / asggan / iḍili / uḍlay / ungal;0.001;7
noisette de beurre;aḍaḍ n tlussi;0.001;7
noix;taddujt / dduj / taɣyayt;0.001;7
nom;assaɣ / ism;0.001;7
nom commercial;ism asɣnzi;0.001;7
nom d'action;;0.001;7
nom de famille;assaɣ awjan / ḍfṛism / ism awjan / ism n twacunt / ism n twja;0.001;7
nom de lieu;ism n udɣar;0.001;7
nom d’agent;ism n umskar;0.001;7
nom d’instrument;ism n wallal;0.001;7
nom et prénom;assaɣ anmdu / ism  anmdu;0.001;7
nom propre;ism iẓlin;0.001;7
non;lawah / uhu / wahi;0.001;7
non acquis;arumɛin / ur ittumɛinn;0.001;7
non autorisé;ur ittusrag;0.001;7
non emphatique;war tuffayt;0.001;7
nord;agafay / afuy / iẓẓlmḍ;0.001;7
nord-est;iẓẓlmḍ igan lqblt;0.001;7
nord-ouest;iẓẓlmḍ igan tagut;0.001;7
norme;alugn / asbdad;0.001;7
normes juridiques;ilugnn izrfann;0.001;7
note;tunniḍt / tusmirt;0.001;7
notre;nnɣ / nnɣnt;0.001;7
nouer;ass / krs;0.001;7
nouer un foulard sur la tête;qqn taknbuct;0.001;7
nous;nkkni;0.001;7
nouvelle;anɣmis / tanqqist tugzilt;0.001;7
nouvelle (genre littéraire);tanqqist taquḍaḍt;0.001;7
nouvelle lune;talalit n wayyur;0.001;7
noyau;aɛqqa / aɣrmi / aɣyay / ul / taɣyayt / tuẓmt;0.001;7
nu;aḥẓẓuḍ / uzzif;0.001;7
nuage;amdlu / asgnu / askun / isignu;0.001;7
nuage aqueux;asgnu iktarn;0.001;7
nuage bas;amdlu yudrn / asgnu yudrn;0.001;7
nuage glacé;amdlu ugris / asgnu ugris;0.001;7
nuit;iḍ;0.001;7
nul;amussr;0.001;7
numériseur;asnfal amuṭṭun;0.001;7
numéro d'immatriculation;;0.001;7
nuée;akʷrbab / ahittul;0.001;7
néologie (création de mots);asnulfu n tguriwin;0.001;7
néologisme;taguri tanulfut;0.001;7
néphrologie;tasnijjit n tgẓẓal;0.001;7
néphrologue;aḍbib n tgẓẓal;0.001;7
nœud;akrus / akrris / amkris / tagʷlilt / taxriwt  / tamukrist / tukrist;0.001;7
oasis;taɣla / taẓnigt;0.001;7
objet;askkin / taɣawsa;0.001;7
observatoire météorologique;asaḍaf n unzwi;0.001;7
observatoire national;asaḍaf anamur;0.001;7
obus;taburqct;0.001;7
octroi de licences;tikki n turagin;0.001;7
odeur;aḍu / illif / tujjut;0.001;7
odontologie, dentisterie;tasnijjit n tɣmas;0.001;7
oeil;mqql;0.001;7
office des changes;asira n usnfl;0.001;7
offre;askan;0.001;7
offres d’emploi;askan n twuri;0.001;7
ogre;agṛuḍ / amẓiw / argu / aryl;0.001;7
oie;tikikla;0.001;7
olive;tazitunt / zzitun;0.001;7
ombre;amalu / asklu / tasaywalt / tili;0.001;7
ombre de la terre;tili n wakal;0.001;7
omoplate;aɣṛuḍ / iɣss n tɣṛuḍt;0.001;7
once;tuqct;0.001;7
onde;taḍḍanga;0.001;7
onde cyclonique;tamzazt tamjaggʷjt;0.001;7
ongle;axbac / accar / iskr;0.001;7
onze;yan d mraw;0.001;7
ophtalmie;kundu / tamaḍunt n tṭṭawin / tamaḍunt n walln;0.001;7
ophtalmologie;tasnijjit n tṭṭawin  / tasnijjit n walln;0.001;7
ophtalmologue, oculiste;;0.001;7
opérateur technique;amwuri atiqni;0.001;7
or;ziɣ;0.001;7
orage;tignut;0.001;7
oral;amiwan;0.001;7
ordonnance médicale;tasmlt tamsgnaft;0.001;7
ordonnateur;amsusl i uqṛaḍ;0.001;7
ordre;anaḍ;0.001;7
ordre du jour, agenda;aɣawas n twuri;0.001;7
ordre public;anmala agdudan;0.001;7
oreille externe;amzzuɣ abṛṛan;0.001;7
oreille interne;amzzuɣ agʷnsan;0.001;7
